candidate_id,derivative_type,market_ticker,settlement_horizon,inning,half_inning,blocked_reason,baseline_source,overall_watch_score,market_mismatch_score,created_at,paper_setup_id,outcome,good_entry_label,net_pnl_cents
797,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,full_game,1,bottom,,first_discovery,85.0,100.0,2026-06-15T19:31:45.166885,15,lost,strong_value,-29
798,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,full_game,2,top,,first_discovery,85.0,100.0,2026-06-15T19:34:45.194879,15,lost,strong_value,-29
799,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,3,bottom,rally_still_active,first_discovery,56.2,4.0,2026-06-15T19:39:45.320035,16,unknown,not_evaluable,
800,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,3,bottom,,first_discovery,56.2,4.0,2026-06-15T19:40:45.436703,16,unknown,not_evaluable,
801,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,4,top,,first_discovery,56.2,4.0,2026-06-15T19:42:45.455339,16,unknown,not_evaluable,
802,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,full_game,2,bottom,,first_discovery,85.0,100.0,2026-06-15T19:42:45.456353,15,lost,strong_value,-29
803,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,full_game,2,bottom,rally_still_active,first_discovery,85.0,100.0,2026-06-15T19:43:46.130786,15,lost,strong_value,-29
804,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,4,top,rally_still_active,first_discovery,56.2,4.0,2026-06-15T19:45:46.154600,16,unknown,not_evaluable,
805,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,full_game,2,bottom,rally_still_active,first_discovery,85.0,100.0,2026-06-15T19:49:47.119357,15,lost,strong_value,-29
806,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,full_game,2,bottom,rally_still_active,first_discovery,85.0,100.0,2026-06-15T19:53:47.204120,15,lost,strong_value,-29
807,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,4,bottom,,first_discovery,56.2,4.0,2026-06-15T19:55:47.221139,16,unknown,not_evaluable,
808,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,full_game,2,bottom,,first_discovery,85.0,100.0,2026-06-15T19:58:47.248112,15,lost,strong_value,-29
809,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,5,top,,first_discovery,56.2,4.0,2026-06-15T20:02:47.280925,16,unknown,not_evaluable,
810,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,full_game,3,top,,first_discovery,85.0,100.0,2026-06-15T20:02:47.281819,15,lost,strong_value,-29
811,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,5,top,rally_still_active,first_discovery,56.2,4.0,2026-06-15T20:03:47.292379,16,unknown,not_evaluable,
812,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,full_game,3,bottom,,first_discovery,85.0,100.0,2026-06-15T20:08:47.508440,15,lost,strong_value,-29
813,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,full_game,3,bottom,rally_still_active,first_discovery,85.0,100.0,2026-06-15T20:09:47.518428,15,lost,strong_value,-29
814,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,5,bottom,,first_discovery,56.2,4.0,2026-06-15T20:10:47.526372,16,unknown,not_evaluable,
815,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,5,bottom,rally_still_active,first_discovery,56.2,4.0,2026-06-15T20:11:47.535494,16,unknown,not_evaluable,
816,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,5,bottom,,first_discovery,44.2,4.0,2026-06-15T20:12:47.544286,16,unknown,not_evaluable,
817,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,5,bottom,rally_still_active,first_discovery,44.2,4.0,2026-06-15T20:14:47.561807,16,unknown,not_evaluable,
818,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,full_game,1,top,,first_discovery,59.5,10.0,2026-06-15T20:17:48.238259,17,lost,possible_value,-58
819,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,full_game,4,top,rally_still_active,first_discovery,85.0,100.0,2026-06-15T20:18:48.451569,15,lost,strong_value,-29
820,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,6,top,,first_discovery,44.2,4.0,2026-06-15T20:20:48.470045,16,unknown,not_evaluable,
821,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,full_game,1,bottom,rally_still_active,first_discovery,59.5,10.0,2026-06-15T20:21:48.478662,17,lost,possible_value,-58
822,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,full_game,1,bottom,,first_discovery,59.5,10.0,2026-06-15T20:25:48.515251,17,lost,possible_value,-58
823,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,full_game,6,bottom,,first_discovery,44.2,4.0,2026-06-15T20:26:49.389417,16,unknown,not_evaluable,
824,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,full_game,1,bottom,,first_discovery,79.0,100.0,2026-06-15T20:28:49.408002,18,lost,strong_value,-34
825,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,full_game,6,bottom,,first_discovery,58.0,100.0,2026-06-15T20:28:49.408765,19,lost,possible_value,-57
826,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,full_game,4,top,wide_spread_hard_block: spread=56c > 12c,first_discovery,55.3,92.0,2026-06-15T20:28:49.409767,20,unknown,not_evaluable,
827,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,full_game,2,top,,first_discovery,79.0,100.0,2026-06-15T20:29:49.419708,18,lost,strong_value,-34
828,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,full_game,6,bottom,rally_still_active,first_discovery,58.0,100.0,2026-06-15T20:29:49.420667,19,lost,possible_value,-57
829,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,full_game,2,bottom,,first_discovery,79.0,100.0,2026-06-15T20:33:49.463561,18,lost,strong_value,-34
830,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,full_game,4,bottom,wide_spread_hard_block: spread=56c > 12c,first_discovery,55.3,92.0,2026-06-15T20:34:49.480806,20,unknown,not_evaluable,
831,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,full_game,4,bottom,rally_still_active,first_discovery,80.0,100.0,2026-06-15T20:39:49.545962,21,unknown,not_evaluable,
832,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,full_game,5,top,wide_spread_hard_block: spread=56c > 12c,first_discovery,55.3,92.0,2026-06-15T20:40:49.563265,20,unknown,not_evaluable,
833,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,full_game,3,top,,first_discovery,79.0,100.0,2026-06-15T20:41:49.572771,18,lost,strong_value,-34
834,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,full_game,4,bottom,,first_discovery,80.0,100.0,2026-06-15T20:41:49.573397,21,unknown,not_evaluable,
835,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,full_game,5,top,,first_discovery,80.0,100.0,2026-06-15T20:43:50.038090,21,unknown,not_evaluable,
836,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,full_game,2,top,,first_discovery,48.0,12.0,2026-06-15T20:43:50.039649,22,unknown,possible_value,
837,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,full_game,3,bottom,,first_discovery,79.0,100.0,2026-06-15T20:47:50.087582,18,lost,strong_value,-34
838,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,full_game,2,bottom,,first_discovery,48.0,12.0,2026-06-15T20:48:50.101764,22,unknown,possible_value,
839,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,full_game,3,bottom,rally_still_active,first_discovery,79.0,100.0,2026-06-15T20:49:50.111513,18,lost,strong_value,-34
840,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,first_5,3,bottom,,first_discovery,71.8,100.0,2026-06-15T20:50:50.124828,23,lost,possible_value,-9
841,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,full_game,5,bottom,,first_discovery,80.0,100.0,2026-06-15T20:50:50.672889,21,unknown,not_evaluable,
842,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,full_game,5,bottom,rally_still_active,first_discovery,80.0,100.0,2026-06-15T20:51:50.686170,21,unknown,not_evaluable,
